 Compound  Name ,Formula,Mass,RT, CAS  ID ,QC1,QC10,QC11,QC12,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,SC1_1,SC112_15,SC120_16,SC136_17,SC137_44,SC170_18,SC20_2,SC21_3,SC214_19,SC215_20,SC215B_42,SC215C_43,SC23_4,SC47B_41,SC56_5,SC57_6,SC64_8,SC70_9,SC72_10,SC80_12,SC82_13,SC95_14,SD121_40,SD127d_30,SD137d_31,SD140d_32,SD150_33,SD164_35,SD182_36,SD184_37,SD189_38,SD198_39,SD208_34,SD20d_21,SD28d_22,SD29d_23,SD33d_24,SD39d_25,SD41d_26,SD45d_27,SD48d_28,SD52d_29
 TG  56:4 , C59  H106  O6 ,910.7965,18.1,nan,23.304249709420773,23.40846602638578,23.82979805137018,24.17739906958679,23.888677042769764,24.599266701927288,24.03043653434281,23.756285145736797,22.39256076756814,22.143230076330948,22.130635922839208,21.6425995415222,25.29331024742237,29.064782314972884,46.37548726048579,17.967178520250485,23.682683753797363,11.118016902691242,21.01492392555184,21.50986409086679,19.531824332062392,60.47288276444804,57.661822458039985,52.905474742961886,21.03423725434728,18.4829023623135,18.969406055787235,23.077532615905696,30.41025638774921,22.867314776844218,16.196423823959083,40.91868843243003,18.00273252050507,22.076553738662543,9.079727200532705,26.09765119543778,22.063350642010835,19.409162276218694,33.463101737531005,18.57011634483733,24.18469795596971,46.803684514704536,9.73961934059222,16.115309469979696,15.229810816148659,117.58509460686635,9.803989840872168,19.41774079326406,15.045419501931201,35.16157263111621,43.5736250127428,23.847409651166952,19.386446490858035,12.988217881183557
 TG  16:0_16:1_18:1 , C53  H98  O6 ,830.7361,18.14,nan,2.8313414936168364,2.434927927077477,2.5021889654488985,2.4654112762794718,2.8438518696648782,2.8849515602401987,2.7998117044529316,2.8722185840318053,2.737538131560568,2.7108208729056944,2.636230961807093,2.5283667118585673,1.6624555213670578,3.198402964318835,10.533710648527002,1.5512649778659353,4.657750930388212,2.1753228767529955,3.349039468569243,2.691359208287,2.3660065497411447,3.529937489185481,2.6295031768645134,2.393686310187705,1.8480027149288505,1.9140311662379934,1.6307241248547024,1.3881763676417296,4.997511334187279,3.0212586009098796,1.1286217821066562,10.154902818894735,3.0973947145361103,3.8121253236713626,1.4514083205918813,4.368998937264544,1.2371990005849545,1.6917622574654094,2.9757344952797915,2.326974187006809,2.7438963629846125,3.5982204861052094,1.6474614712434723,1.0176527976182954,1.6956588366224183,9.69590309207119,1.3243864864189674,1.3865944374620907,1.7109349247939483,3.7151385473513363,2.8483498889557053,1.7646671237114957,1.684793783942995,1.217466068107793
 TG  49:0 , C52  H100  O6 ,820.7528,18.16,nan,12.463414422410509,4.046728376665616,3.9240927743458736,3.8536322999540924,12.781235620815568,13.2988302050055,11.23229133699555,10.157750302708463,8.064839498445952,7.352451051294219,5.742994038353864,4.995055220037262,11.306718637939909,11.970756599750105,36.96582107311654,8.744667174622105,8.148001364924118,7.703012271186659,13.209722703307028,16.124232076229617,10.998218822748587,3.015399196756101,2.686795904847472,2.086398221281616,10.068693027868004,10.511073404144389,11.183293446274817,8.474446576108633,12.500467298847575,11.015724926189312,7.864873107908936,21.08398370214769,13.767603620944453,12.784220691799238,10.348465543328881,25.268007763010907,8.158272935227693,11.631436560620758,9.498990291175684,11.772857945573472,6.5025644903272335,9.890767126144482,10.424526319817621,9.392345363000478,12.866050884466262,12.101858600244396,10.6949979929794,11.036959232758607,12.102815109050683,17.37468824745132,13.499397205899411,11.654519514182269,11.675672999369688,10.9067972152463
 TG  17:0_18:1_18:1 , C56  H104  O6 ,872.7841,18.23,nan,31.27761811934574,18.010116804677192,17.816103198667577,17.748441133439158,32.064116435964614,33.5358237566481,29.113209859368908,28.24816980072113,24.18632393459746,22.767056196277057,21.467943891648325,20.297490678120628,27.035206622315492,43.46548959303547,100.2408611475704,22.046715774162436,41.190474804977,17.63197547450353,46.28385485177637,32.59939425035513,31.80199923670813,82.70990744705969,53.64874843070207,52.95909431644346,21.46813287094127,13.11235342970166,22.579465936686365,21.4941541830906,42.603622007212465,37.47900483443676,15.556069483063132,101.01616764636366,36.459832738094164,41.06165409447916,9.803348794826917,59.692349135526165,21.734059173101045,25.447999508320795,54.86117173938441,16.4606556177778,27.522719157471226,40.734987754251115,14.696562031853729,18.427730654041866,16.381449902786954,165.0802612695319,10.305893402062999,22.639611953994507,19.24979642630364,71.4266406212866,43.07428245796159,31.802335728416352,17.812799785471487,11.49659608656793
 TG  53:2 , C56  H104  O6 ,872.7841,18.23,nan,30.60656126300031,17.36164624083632,17.183590400895675,17.151057049540054,31.362079461501704,32.85213508418704,28.361668500268436,27.559412160372027,23.493059485699966,22.043205966303777,20.78719319291005,19.516200563166315,26.535338182508966,42.53803743288843,98.81453272826784,21.58987393798592,40.41199903023585,17.15891492694737,45.408111135694135,31.76940522610286,31.20951215735728,81.3732948600151,52.599556595151455,52.10177494807719,20.877892468375332,12.415401575854744,21.941818118061498,20.90952746277178,41.487908448540765,36.90286154970257,15.10684490341382,99.40460538791524,35.79954625538089,40.282015358250774,9.572079199062857,58.47351594686387,21.191220252166577,24.997589902533804,53.909079791164096,16.01906346939005,26.86064056350723,39.84583715418388,14.372229236430552,18.09292345888677,15.931694119211967,162.15597237267335,10.03666743301161,22.06089559582048,18.885461949736307,70.23682512416487,41.720852113526334,31.262882387425897,17.39505790393392,11.172723104412777
 TG  16:0_17:0_18:1 , C54  H102  O6 ,846.7685,18.24,nan,25.809214649416173,13.668785582405937,13.663618835296864,13.622469257667428,26.8306122503354,28.053679581124996,24.719909929960952,23.688752607809157,20.0175298870551,18.76825434572922,17.127016542037197,15.869995364409782,19.485639917251934,29.28128454255632,91.45895077129086,18.564745457793272,39.123392717538835,18.816185480701485,37.872989159735305,30.353266853255988,22.84724967696066,29.00453389791743,19.40112775505626,17.951761343482453,18.366956948165832,16.713602417961887,20.506132263277017,14.865420414721438,35.77821590500353,31.04989704134439,14.676421902789226,92.99499445983763,32.90149262230518,41.359968594847686,16.126440927253434,69.19388820794474,17.104597593947172,21.199338409390574,32.90396793311838,22.91400551214705,22.87413954547051,29.487002338613312,21.56772684147146,15.50291021366135,20.593215622291385,65.11340917593522,16.731973966765892,18.86363232850722,22.278654821372854,53.41304905560559,26.682721980022567,23.66199788157295,19.733423053524948,15.550534082644974
 TG  51:1 , C54  H102  O6 ,846.7685,18.24,nan,25.766566834554215,13.635590870045979,13.683452805306299,13.615867596790764,26.819559223126983,28.06619532181682,24.72513423997237,23.673321577720586,20.006553495028545,18.78266811346656,17.113632821365663,15.864513091976976,19.48297514912867,29.280967338910955,91.3881942364509,18.552750968652433,39.05742756042803,18.806387082513385,37.802534049750406,30.336327514481873,22.87135120527154,28.97925515889626,19.395835592277205,17.972718880645225,18.359456202748188,16.707704780728644,20.512414094573057,14.831445413008032,35.69345341355463,31.035697376541194,14.666061760839524,92.80734175037095,32.841830556123384,41.283089617046386,16.11523252803189,69.10012739837111,17.094140366421477,21.171452782897916,32.83142964153293,22.902188904089904,22.860404889959412,29.490035681248276,21.556473446568134,15.495063945312113,20.587034945833082,64.91945772883255,16.723397541469318,18.857130103687606,22.27007716890928,53.40085319858641,26.6618103852753,23.651404173202387,19.70070229219563,15.53987609582653
 CE  18:1(d7) , C45  H71  D7  O2 ,657.6445,18.3,nan,284.45519717609073,280.68830423292275,288.5706087186601,291.08761034363215,289.78407339686567,290.55454830600826,291.2304405914736,291.6850907102922,291.0948472026468,291.93476108548373,294.31672845945724,293.82024171596953,291.00626192335056,293.2592389728344,291.484453832752,293.2563355262328,287.4366371161358,289.53851070845576,293.7225559456277,287.971126084739,264.77515908902836,732.6096932924917,650.7826859218592,722.623411341657,289.3644999894044,283.5014558552582,289.0449525540853,288.8507655005384,288.4527219020131,292.3963853934,286.64594044159014,290.11433790645793,288.6737670576229,289.1671234292059,282.03208007074466,285.8047062464793,289.51032086323085,286.40338376436165,288.94864172202506,289.79184449604446,290.79494493592983,284.9917799787092,277.6124187948703,283.84142265855064,287.87782845165793,290.65216764172055,286.83253791111673,302.22945802894765,290.5711446363353,289.23879325233173,285.83893307988734,291.6585948816903,288.852026893542,289.82938173763
 CE  18:1 , C45  H78  O2 ,650.601,18.34,nan,2196.016269589365,2240.415319245178,2259.3322508025803,2301.2964078576865,2239.9344756713986,2249.8146874017757,2189.3766944916097,2225.4875493707177,2304.905913649452,2277.9532748149954,2196.8880165676237,2231.465536677848,2464.674223992225,2864.922895138861,1823.6317173408704,3052.196842855189,2217.576220888737,2433.0005017060107,2447.0055974234506,1916.3539919807147,1895.0381532028553,47833.803191187755,35330.00082609163,37924.132927924125,2849.0083534995906,1244.2603337581613,1646.6939308468548,2430.2319653674936,2612.5685082125597,2484.006288436327,1209.0900427802903,2277.710755309819,2529.2750781066516,2341.681137823439,1430.877005871476,2486.5770068716097,2096.8434889558657,1459.7544240206034,1876.5334674940536,1982.780557212906,1718.2089725523717,2128.346665154732,2038.6104757710889,2606.2130636374004,1644.5153086952719,2384.0739900719846,2343.785103345755,1908.1270427934405,2161.450134734921,1904.4226675320322,1344.5541932632937,2839.566498351373,1959.9818309294444,1786.496604402975
 TG  16:0_18:0_18:1 , C55  H104  O6 ,860.786,18.44,nan,112.49046766478084,60.75849783511611,58.9474787570687,59.33007393517819,119.13154869087782,129.39236312282435,117.67703914246393,118.44545927294803,93.82223230118073,87.51889554358725,77.20069998643548,71.58782811508628,82.46159235826677,151.79512042944677,338.0456482797867,85.68954482725286,166.89507292499437,74.59772521192735,153.41556942904754,125.70295315018805,68.80869909010788,150.63891752444914,102.29556233129645,98.14154882549494,106.53105279058622,83.13186689784143,89.29846978823176,65.54786602454365,158.7479752284658,131.46794602228084,64.1030828784228,427.65332349864354,138.33196649102683,184.74787728739153,80.4515545776167,296.90755808588,80.17310620064178,94.64809117320631,115.1381061843837,144.2136301886304,166.77921887546444,231.25642303699237,112.55780793639492,74.10928936990025,87.11995870549077,370.9857754752848,97.19437228758842,78.36792536448134,98.15973826443388,220.121512986324,133.5749720312727,100.80659869331598,127.13862258241926,69.59315502646467
